"","ID","level","Zvalue","Pvalue","FDR","module","score","Nfixation","plant_pathogen","arbuscular_mycorrhizal","z.degree","moduleConect","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness","eigen","hubscore","reach2","reach3"
"Bac_00272","Bac_00272","Level 1",5.34287625658831,0,0,10,-44,0,44,0,"0.0700598099009039","0.32","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Unidentified","Unidentified","Unidentified",5,0.00318250608450347,0.0254192403129428,0.0254192403129424,0.0975609756097561,0.327526132404181
"Bac_00287","Bac_00287","Level 1",-0.273253034535222,3.864,1,7,-6,0,6,0,"-0.289404816401862","0","Bacteria","Chloroflexi","JG30-KF-CM66","Unidentified","Unidentified","Unidentified","Unidentified",5,0.000510330203169846,0.0590990755567723,0.0590990755567671,0.10801393728223,0.226480836236934
"Bac_00295","Bac_00295","Level 1",4.20572214795827,0,0,6,0,0,0,0,"-1.18729630767953","0.444444444444444","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","Unidentified",3,0.00179364353110887,0.0933934706711173,0.0933934706711173,0.101045296167247,0.348432055749129
"Fun_00002","Fun_00002","Level 1",3.26659363807229,0.006,0.0206698564593301,9,-346,0,357,0,"1.31746509848052","0.244897959183674","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Unidentified","Unidentified",7,0.00898810450731791,0.0283050635054924,0.0283050635054913,0.114982578397213,0.369337979094077
"Fun_00003","Fun_00003","Level 1",-1.28260777245714,1.043,1,6,-93,0,94,0,"1.07806504737302","0.260355029585799","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Unidentified","Unidentified",13,0.0270458051832474,0.557990765701407,0.557990765701408,0.233449477351916,0.494773519163763
"Fun_00004","Fun_00004","Level 1",1.0204935332327,1.57,1,1,-127,0,128,0,"-0.843644789742107","0.65625","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unidentified",8,0.0277256893641215,0.0322432652709415,0.0322432652709408,0.160278745644599,0.515679442508711
"Fun_00005","Fun_00005","Level 1",-2.902255475979,0.022,0.0654545454545454,7,0,0,0,0,"-0.289404816401862","0.277777777777778","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Unidentified","Unidentified",6,0.00793577210794744,0.056689392492695,0.05668939249269,0.111498257839721,0.331010452961672
"Fun_00006","Fun_00006","Level 1",1.84744551202919,0.307,0.614853963838665,1,0,0,0,0,"-1.19273918549746","0.444444444444444","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina",3,0.00357652801258628,0.0204960151739086,0.020496015173908,0.0731707317073171,0.376306620209059
"Fun_00007","Fun_00007","Level 1",0.112044759545558,4.645,1,9,-173,0,179,0,"-0.526986039392208","0","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Unidentified",3,0.00114090415703896,0.00735210239890108,0.00735210239890091,0.0522648083623693,0.163763066202091
"Fun_00008","Fun_00008","Level 1",6.11117389546176,0,0,4,0,0,0,0,"-0.477082810872417","0.444444444444444","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Unidentified",3,0.00317138827626334,0.0122416831734216,0.0122416831734212,0.0452961672473868,0.209059233449477
"Fun_00009","Fun_00009","Level 1",2.48832435804274,0.036,0.101448140900196,9,0,0,0,0,"-1.75662013130736","0.5","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pseudaleuria","Pseudaleuria sp. MF-3",2,0.00102293513786673,0.0136883695742581,0.013688369574258,0.0452961672473868,0.219512195121951
"Fun_00010","Fun_00010","Level 1",7.43098413964142,0,0,1,-10,0,10,0,"-0.145455998231398","0.277777777777778","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Unidentified",6,0.00556084417487006,0.0557719665045643,0.0557719665045641,0.104529616724739,0.334494773519164
"Fun_00011","Fun_00011","Level 1",-2.05965789025062,0.194,0.422632375189107,7,-70,0,70,0,"-0.289404816401862","0.277777777777778","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Unidentified","Unidentified",6,0.00326690878233005,0.0857028669795836,0.0857028669795765,0.149825783972125,0.386759581881533
"Fun_00012","Fun_00012","Level 1",-2.64765129932346,0.049,0.130425138632163,1,-32,0,32,0,"-0.843644789742107","0.65625","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Unidentified","Unidentified",8,0.0151264700035872,0.0511592988170976,0.0511592988170941,0.13588850174216,0.435540069686411
"Fun_00013","Fun_00013","Level 1",-0.684994070200577,2.411,1,7,0,0,0,0,"1.16236360685994","0","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Actinomortierella","Actinomortierella capitata",11,0.00589753442696083,0.14142101152705,0.141421011527039,0.163763066202091,0.337979094076655
"Fun_00014","Fun_00014","Level 1",2.44879697561441,0.049,0.130425138632163,9,-161,0,163,0,"0.0878310065653679","0.489795918367347","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Actinomortierella","Actinomortierella capitata",7,0.0169457129592501,0.0247775333556148,0.024777533355614,0.139372822299652,0.418118466898955
"Fun_00015","Fun_00015","Level 1",-3.25653602891449,0.007,0.0237176470588235,7,-262,0,272,0,"-0.531366220278829","0.65625","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium","Unidentified",8,0.0392692537413289,0.137802926474983,0.137802926474979,0.181184668989547,0.536585365853659
"Fun_00016","Fun_00016","Level 1",-0.491441413902276,3.052,1,6,0,0,0,0,"0.322944595688833","0","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Unidentified",8,0.0020668780876952,0.425258640739744,0.425258640739745,0.142857142857143,0.334494773519164
"Fun_00017","Fun_00017","Level 1",4.87775154849405,0,0,1,-93,0,95,0,"-0.843644789742107","0.375","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Unidentified","Unidentified",4,0.00628960290063439,0.0203815644003622,0.020381564400362,0.0836236933797909,0.271777003484321
"Fun_00018","Fun_00018","Level 1",-1.96607191506164,0.257,0.534025974025974,6,-19,0,19,0,"-0.683882673223411","0.666666666666667","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma terricola",9,0.0197104248687535,0.249078551172615,0.249078551172615,0.177700348432056,0.421602787456446
"Fun_00019","Fun_00019","Level 1",3.20455973453058,0,0,9,-255,0,258,0,"1.31746509848052","0.493827160493827","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma terrea",9,0.0211458253287113,0.0907935872124303,0.0907935872124298,0.177700348432056,0.494773519163763
"Fun_00020","Fun_00020","Level 1",-0.507144922454274,3.042,1,7,0,0,0,0,"-1.25725043190973","0.666666666666667","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Unidentified","Unidentified",3,0.0161822517739761,0.0329834515975523,0.0329834515975514,0.0975609756097561,0.435540069686411
"Fun_00021","Fun_00021","Level 1",-5.41117139116415,0,0,9,-49,0,49,0,"-1.75662013130736","0.5","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unidentified","Unidentified","Unidentified",2,0.00360959019627214,0.0188628807977935,0.0188628807977923,0.0522648083623693,0.268292682926829
"Fun_00022","Fun_00022","Level 1",-5.76412604080609,0,0,7,-75,0,75,0,"3.5819776456296","0.162570888468809","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium madrasense",23,0.0560092096795148,0.237577883164769,0.237577883164749,0.236933797909408,0.498257839721254
"Fun_00023","Fun_00023","Level 1",3.04597123005666,0.006,0.0206698564593301,2,-24,0,24,0,"-1.04998298926248","0.625","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella indohii",4,0.004343943955126,0.0398658187110751,0.0398658187110747,0.0696864111498258,0.285714285714286
"Fun_00024","Fun_00024","Level 1",-2.26233067936791,0.128,0.299707317073171,9,-299,0,308,0,"0.702648052522944","0.448979591836735","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unidentified",7,0.00819634153429883,0.0458386057278664,0.0458386057278661,0.0871080139372822,0.29616724738676
"Fun_00025","Fun_00025","Level 1",-6.33989077170258,0,0,10,-14,0,14,0,"1.7514952475226","0.653061224489796","Fungi","Ascomycota","Sordariomycetes","Unidentified","Unidentified","Unidentified","Unidentified",14,0.0221608304837585,0.0665989071167505,0.0665989071167463,0.170731707317073,0.397212543554007
"Fun_00026","Fun_00026","Level 1",0.822646688044874,2.092,1,6,-12,0,12,0,"-1.18729630767953","0.5","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Unidentified","Unidentified","Unidentified",4,0.00900190474811024,0.094988246292257,0.0949882462922569,0.142857142857143,0.456445993031359
"Fun_00028","Fun_00028","Level 1",3.58833686496837,0,0,1,0,0,0,0,"-0.494550393986752","0.32","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Unidentified",5,0.0190377127180426,0.0393748333361518,0.0393748333361515,0.128919860627178,0.397212543554007
"Fun_00029","Fun_00029","Level 1",3.39021742796299,0,0,1,-7,0,7,0,"-1.19273918549746","0","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Unidentified",2,0.000138641815354063,0.0106545465122915,0.0106545465122915,0.0487804878048781,0.170731707317073
"Fun_00030","Fun_00030","Level 1",0.633673766407998,2.697,1,9,0,0,0,0,"0.0878310065653679","0.571428571428571","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Unidentified","Unidentified",7,0.00887870308292108,0.0580446823464475,0.0580446823464473,0.114982578397213,0.358885017421603
"Fun_00031","Fun_00031","Level 1",-6.7566468734147,0,0,3,-6,0,6,0,"-0.843274042711568","0.5","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Unidentified",4,0.00495325029636231,0.0430238091809518,0.0430238091809482,0.128919860627178,0.327526132404181
"Fun_00032","Fun_00032","Level 1",-2.23134152161925,0.14,0.320508744038156,6,0,0,0,0,"0.0712377784607719","0","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Cladorrhinum","Unidentified",7,0.00254236187475467,0.307543344458733,0.307543344458733,0.125435540069686,0.327526132404181
"Fun_00040","Fun_00040","Level 1",1.53403310841874,0.598,1,4,-1,0,1,0,"-1.51076223442932","0.75","Fungi","Ascomycota","Sordariomycetes","Unidentified","Unidentified","Unidentified","Unidentified",4,0.00562593266048956,0.0341527592885521,0.0341527592885519,0.0766550522648084,0.268292682926829
"Fun_00041","Fun_00041","Level 1",-5.32403244859795,0,0,3,-4,0,4,0,"-0.210818510677892","0.56","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Unidentified",5,0.0102895263249131,0.0139800552585961,0.0139800552585952,0.0801393728222996,0.334494773519164
"Fun_00042","Fun_00042","Level 1",-0.771507501994139,2.303,1,6,-125,0,128,0,"0.0712377784607719","0.21875","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Monocillium","Unidentified",8,0.00472821224169018,0.319565772773582,0.319565772773582,0.125435540069686,0.344947735191638
"Fun_00045","Fun_00045","Level 1",-0.220811982003375,3.99,1,9,-19,0,19,0,"0.0878310065653679","0.32","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Acrophialophora","Acrophialophora levis",5,0.010279240399233,0.0139178858750042,0.0139178858750039,0.0836236933797909,0.278745644599303
"Fun_00046","Fun_00046","Level 1",-3.97713563864593,0,0,7,-74,0,74,0,"-1.01528902803276","0.64","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Unidentified",5,0.015137755565492,0.0537732769628166,0.0537732769628127,0.177700348432056,0.463414634146341
"Fun_00051","Fun_00051","Level 1",3.13693785235705,0,0,9,-289,0,297,0,"-0.526986039392208","0.56","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Unidentified","Unidentified",5,0.00798202999520012,0.0104214303561989,0.0104214303561986,0.0766550522648084,0.240418118466899
